,Crate,Label,width,Length,x,y,Rotation,Zone,Double Stack
0,41,119655,1.6,1.0,32.12,3.19,False,ZONE B,No
1,42,118681,1.6,1.85,27.32,3.19,True,ZONE B,No
2,32,115380,1.6,1.85,24.97,3.19,True,ZONE B,No
3,26,123819,1.6,2.0,16.75,3.19,False,ZONE B,No
4,23,124568,1.6,2.0,14.25,3.19,False,ZONE B,No
5,21,124566,1.6,2.0,11.75,3.19,False,ZONE B,No
6,39,117442,1.6,2.1,9.15,3.19,True,ZONE B,No
7,15,117445,1.6,2.1,6.55,3.19,True,ZONE B,No
8,28,123565,1.6,3.05,0.0,3.19,True,ZONE B,No
9,33,114680,1.46,1.95,29.67,3.19,True,ZONE B,No
10,17 x 16,121444 x 121441,1.0,2.1,3.75,3.39,True,ZONE B,Yes
11,30,123567,1.3,2.3,19.25,3.19,True,ZONE B,No
12,10,110977,1.2,2.42,22.05,3.19,True,ZONE B,No
13,7 x 6,110978 x 110982,2.49,3.95,0.0,0.0,True,ZONE B,Yes
14,37 x 36,118006 x 118007,2.45,1.2,32.25,0.0,False,ZONE B,Yes
15,40 x 14,117443 x 117444,2.35,2.7,4.85,0.0,True,ZONE B,Yes
16,29,123566,2.45,2.8,22.15,0.0,True,ZONE B,No
17,24,123742,2.45,2.8,18.85,0.0,True,ZONE B,No
18,27,123820,2.45,2.9,15.45,0.0,True,ZONE B,No
19,13 x 43,114679 x 110980,2.25,2.7,8.45,0.0,True,ZONE B,Yes
20,22 x 20,124574 x 124573,2.15,2.7,12.05,0.0,True,ZONE B,Yes
21,19,123547,2.05,2.8,25.45,0.0,True,ZONE B,No
22,25,123741,1.85,2.8,28.75,0.0,True,ZONE B,No
23,8,110985,1.2,1.35,0.0,8.9,False,ZONE B,No
24,2 x 5,110981 x 110983,1.5,1.95,0.0,6.7,False,ZONE B,Yes
25,38 x 1,118008 x 110984,1.3,1.5,5.45,6.7,True,ZONE B,Yes
26,31,126815,1.7,2.1,2.65,6.5,False,ZONE B,No
27,18,123549,1.5,1.9,7.65,6.5,False,ZONE B,No
28,9,111037,1.35,1.65,10.05,6.5,True,ZONE B,No
29,12,110987,1.15,1.87,19.31,6.5,True,ZONE B,No
30,11,110979,1.15,1.87,16.94,6.5,True,ZONE B,No
31,4,110986,1.15,1.87,14.57,6.5,True,ZONE B,No
32,3,110988,1.15,1.87,12.2,6.5,True,ZONE B,No
33,35,119927,1.05,1.95,21.68,6.5,True,ZONE B,No
34,34,119654,0.95,1.1,24.13,6.5,True,ZONE B,No
